|chase|brand|JPMorgan Chase Bank, National Association|
|chat|generic|Binky Moon, LLC|
|cheap|generic|Binky Moon, LLC|
|chintai|brand|CHINTAI Corporation|
|chintai|brand|Chintai Corporation [ja]|
|chloe|generic|Not assigned|
|christmas|generic|XYZ.COM LLC|
|chrome|brand|Charleston Road Registry Inc.|
|chrome|brand|Google (Chrome)|
|chrysler|brand|Chrysler|
|chrysler|brand|Not assigned|
|church|generic|Binky Moon, LLC|
|ch|country-code|SWITCH The Swiss Education & Research Network|
|cipriani|brand|Hotel Cipriani Srl|
|cipriani|brand|Hotel Cipriani Srl|
|circle|generic|Jolly Host, LLC|
|cisco|brand|Cisco Systems|
|cisco|brand|Cisco Technology, Inc.|
|citadel|brand|Citadel Domain LLC|
|citadel|brand|Citadel Domain|
|citic|brand|CITIC Group Corporation|
|citic|brand|CITIC Group|
|citi|brand|Citigroup Inc.|
|citi|brand|Citigroup|
|cityeats|generic|Not assigned|
|city|generic|Binky Moon, LLC|
|ci|country-code|Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI)|
|ck|country-code|Telecom Cook Islands Ltd.|
|claims|generic|Binky Moon, LLC|
|cleaning|generic|Binky Moon, LLC|
|click|generic|Internet Naming Co.|
|clinic|generic|Binky Moon, LLC|
|clinique|generic|The Estée Lauder Companies Inc.|
|clothing|generic|Binky Moon, LLC|
|cloudfront|pseudo-sld|custom|
|cloud|generic|ARUBA PEC S.p.A.|
|clubmed|brand|Club Med|
|clubmed|brand|Club Méditerranée S.A.|
|club|generic|Registry Services, LLC|
|cl|country-code|NIC Chile (University of Chile)|
|cm|country-code|Agence Nationale des Technologies de l'Information et de la Communication (ANTIC)|
|cn|country-code|China Internet Network Information Center (CNNIC)|
|coach|generic|Binky Moon, LLC|
|codes|generic|Binky Moon, LLC|
|coffee|generic|Binky Moon, LLC|
|college|generic|XYZ.COM LLC|
|cologne|generic|dotKoeln GmbH|
|comcast|brand|Comcast|
|comcast|brand|Not assigned|
|commbank|brand|COMMONWEALTH BANK OF AUSTRALIA|
|commbank|brand|Commonwealth Bank|
|community|generic|Binky Moon, LLC|
|company|generic|Binky Moon, LLC|
|compare|generic|Registry Services, LLC|
|computer|generic|Binky Moon, LLC|
|comsec|generic|VeriSign, Inc.|
|com|original|Commercial|Verisign|
|com|original|VeriSign Global Registry Services|
|com|pseudo-sld|custom|
|condos|generic|Binky Moon, LLC|
|construction|generic|Binky Moon, LLC|
|consulting|generic|Dog Beach, LLC|
|contact|generic|Dog Beach, LLC|
|contractors|generic|Binky Moon, LLC|
|cookingchannel|generic|Not assigned|
|cooking|generic|Registry Services, LLC|
|cool|generic|Binky Moon, LLC|
|coop|sponsored|DotCooperation LLC|
|corsica|generic|Collectivité de Corse|
|country|generic|Internet Naming Co.|
|coupons|generic|Binky Moon, LLC|
|coupon|generic|Amazon Registry Services, Inc.|
|courses|generic|Registry Services, LLC|
|co|country-code|Ministry of Information and Communications Technologies (MinTIC)|
|co|pseudo-sld|custom|
|cpa|generic|American Institute of Certified Public Accountants|
|creditcard|generic|Binky Moon, LLC|
|creditunion|brand|CUNA Performance Resources|
|creditunion|brand|DotCooperation, LLC|
|credit|generic|Binky Moon, LLC|
|cricket|generic|dot Cricket Limited|
|cri|pseudo-sld|custom|
|crown|brand|Crown Equipment Corporation|
|crs|brand|Federated Co-operatives Limited|
|crs|brand|Federated Co-operatives|
|cruises|generic|Binky Moon, LLC|
|cruise|generic|Viking River Cruises (Bermuda) Ltd.|
|cr|country-code|National Academy of Sciences (Academia Nacional de Ciencias)|
|csc|brand|DXC Technology|
|csc|brand|Not assigned|
|cuisinella|brand|SCHMIDT GROUPE S.A.S.|
|cuisinella|brand|Société Alsacienne de Meubles (Cuisinella)|
|cu|country-code|CENIAInternet|
|cv|country-code|Agência Reguladora Multissectorial da Economia (ARME)|
|cw|country-code|University of Curacao|
|cx|country-code|Christmas Island Domain Administration Limited|
|cymru|generic|Nominet UK|
|cyou|generic|Shortdot SA|
|cy|country-code|University of Cyprus|
|cz|country-code|CZ.NIC, z.s.p.o|
|dabur|brand|Dabur|
|dabur|brand|Not assigned|
|dad|generic|Charleston Road Registry Inc.|
|dance|generic|Dog Beach, LLC|
|data|generic|Dish DBS Corporation|
|date|generic|dot Date Limited|
|dating|generic|Binky Moon, LLC|
|datsun|brand|NISSAN MOTOR CO., LTD.|
|datsun|brand|Nissan (Datsun)|
|day|generic|Charleston Road Registry Inc.|
|dclk|generic|Charleston Road Registry Inc.|
|ddns|pseudo-sld|custom|
|dds|generic|Registry Services, LLC|
|dealer|brand|Dealer Dot Com|
|dealer|brand|Intercap Registry Inc.|
|deals|generic|Binky Moon, LLC|
|deal|generic|Amazon Registry Services, Inc.|
|degree|generic|Dog Beach, LLC|
|delivery|generic|Binky Moon, LLC|
|dell|brand|Dell Inc.|
|dell|brand|Dell|
|deloitte|brand|Deloitte Touche Tohmatsu|
|deloitte|brand|Deloitte|
|delta|brand|Delta Air Lines, Inc.|
|delta|brand|Delta Air Lines|
|democrat|generic|Dog Beach, LLC|
|dental|generic|Binky Moon, LLC|
|dentist|generic|Dog Beach, LLC|
|design|generic|Registry Services, LLC|
|desi|generic|Emergency Back-End Registry Operator Program - ICANN|
|dev|generic|Charleston Road Registry Inc.|
|de|country-code|DENIC eG|
|dhl|brand|Deutsche Post AG|
|dhl|brand|Deutsche Post|
|diamonds|generic|Binky Moon, LLC|
|diet|generic|XYZ.COM LLC|
|digital|generic|Binky Moon, LLC|
|directory|generic|Binky Moon, LLC|
|direct|generic|Binky Moon, LLC|
|discount|generic|Binky Moon, LLC|
|discover|brand|Discover Financial Services|
|dish|brand|Dish DBS Corporation|
|dish|brand|Dish Network|
|diy|generic|Internet Naming Co.|
|dj|country-code|Djibouti Telecom S.A|
|dk|country-code|Dansk Internet Forum|
|dm|country-code|DotDM Corporation|
|dnp|brand|Dai Nippon Printing Co., Ltd.|
|dnp|brand|Dai Nippon Printing|
|docs|generic|Charleston Road Registry Inc.|
|doctor|generic|Binky Moon, LLC|
|dodge|brand|Chrysler (Dodge)|
|dodge|brand|Not assigned|
|dog|generic|Binky Moon, LLC|
|doha|generic|Not assigned|
|domains|generic|Binky Moon, LLC|
|doosan|generic|Not assigned|
|dot|generic|Dish DBS Corporation|
|download|generic|dot Support Limited|
|do|country-code|Pontificia Universidad Catolica Madre y Maestra, Recinto Santo Tomas de Aquino|
|drive|generic|Charleston Road Registry Inc.|
|dtv|generic|Dish DBS Corporation|
|dubai|generic|Dubai Smart Government Department|
|duck|generic|Not assigned|
|dunlop|brand|Goodyear Tire and Rubber Company (Dunlop Tyres)|
|dunlop|brand|Not assigned|
|duns|generic|Not assigned|
|dupont|brand|DuPont Specialty Products USA, LLC|
|dupont|brand|DuPont|
|durban|generic|ZA Central Registry NPC trading as ZA Central Registry|
|dvag|brand|Deutsche Vermögensberatung Aktiengesellschaft DVAG|
|dvag|brand|Deutsche Vermögensberatung|
|dvr|generic|DISH Technologies L.L.C.|
|dyndns|pseudo-sld|custom|
|dz|country-code|CERIST|
|earth|generic|Interlink Systems Innovation Institute K.K.|
|eat|generic|Charleston Road Registry Inc.|
|eco|generic|Big Room Inc.|
|ec|country-code|ECUADORDOMAIN S.A.|
|edeka|brand|EDEKA Verband kaufmännischer Genossenschaften e.V.|
|edeka|brand|Edeka|
|education|generic|Binky Moon, LLC|
|edu|original|Education|Educause (via Verisign)|
|edu|pseudo-sld|custom|
|edu|sponsored|EDUCAUSE|
|ed|pseudo-sld|custom|
|ee|country-code|Eesti Interneti Sihtasutus (EIS)|
|eg|country-code|Egyptian Universities Network (EUN), Supreme Council of Universities|
|eh|country-code|Not assigned|
|email|generic|Binky Moon, LLC|
|emerck|brand|Merck Group|
|emerck|brand|Merck KGaA|
|emerson|generic|Not assigned|
|energy|generic|Binky Moon, LLC|
|engineering|generic|Binky Moon, LLC|
|engineer|generic|Dog Beach, LLC|
|enterprises|generic|Binky Moon, LLC|
|epost|generic|Not assigned|
|epson|brand|Seiko Epson Corporation|
|epson|brand|Seiko Epson|
|equipment|generic|Binky Moon, LLC|
|ericsson|brand|Ericsson|
|ericsson|brand|Telefonaktiebolaget L M Ericsson|
|erni|brand|ERNI Group Holding AG|
|er|country-code|Eritrea Telecommunication Services Corporation (EriTel)|
|esq|generic|Charleston Road Registry Inc.|
|estate|generic|Binky Moon, LLC|
|esurance|brand|Esurance|
|esurance|brand|Not assigned|
|es|country-code|Red.es|
|etisalat|brand|Etisalat|
|etisalat|brand|Not assigned|
|et|country-code|Ethio telecom|
|eurovision|brand|European Broadcasting Union (EBU)|
|eurovision|brand|European Broadcasting Union (Eurovision)|
|eus|generic|Puntueus Fundazioa|
|eu|country-code|EURid vzw|
|events|generic|Binky Moon, LLC|
|everbank|brand|EverBank|
|everbank|brand|Not assigned|
|exchange|generic|Binky Moon, LLC|
|expert|generic|Binky Moon, LLC|
|exposed|generic|Binky Moon, LLC|
|express|generic|Binky Moon, LLC|
|extraspace|brand|Extra Space Storage LLC|
|extraspace|brand|Extra Space Storage|
|fage|brand|Fage International S.A.|
|fage|brand|Fage|
|fail|generic|Binky Moon, LLC|
|fairwinds|brand|FairWinds Partners, LLC|
|fairwinds|brand|FairWinds Partners|
|faith|generic|dot Faith Limited|
|family|generic|Dog Beach, LLC|
|fans|generic|ZDNS International Limited|
|fan|generic|Dog Beach, LLC|
|farmers|brand|Farmers Insurance Exchange|
|farm|generic|Binky Moon, LLC|
|fashion|generic|Registry Services, LLC|
|fast|generic|Amazon Registry Services, Inc.|
|fedex|brand|FedEx|
|fedex|brand|Federal Express Corporation|
|feedback|generic|Top Level Spectrum, Inc.|
|ferrari|brand|Fiat Chrysler Automobiles N.V.|
|ferrari|brand|Stellantis (Ferrari)|
|ferrero|brand|Ferrero Trading Lux S.A.|
|ferrero|brand|Ferrero|
|fiat|brand|Not assigned|
|fiat|brand|Stellantis (Fiat)|
|fidelity|brand|Fidelity Brokerage Services LLC|
|fidelity|brand|Fidelity Investments|
|fido|generic|Rogers Communications Canada Inc.|
|film|generic|Motion Picture Domain Registry Pty Ltd|
